,TS222,TS223,TS224,TS225,TS226,TS227,TS228,TS230,TS231,TS232,TS233,TS234,TS235,TS236,TS237,TS239,TS240,TS241,TS242,TS243,TS244,TS245,TS246,TS247
Mo,4.810360777,6.183574879,4.583333333,6.305506217,6.380208333,7.751937984,5.970149254,6.884970613,0.556792873,10.16166282,7.668231612,6.972111554,8.717310087,4.657179819,5.774783446,7.823741007,8.88030888,8.510638298,5.40765391,7.397959184,1.654846336,7.24088973,11.2,8.760330579
G,54.67160037,60,60.5,41.56305506,42.31770833,58.69324474,46.16204691,46.17968094,32.51670379,39.64588145,64.24100156,50.89641434,51.68119552,41.52652005,48.89316651,49.91007194,45.32818533,43.49881797,63.14475874,43.28231293,22.93144208,68.29152863,60.58181818,47.9338843
RBC,1.942645698,1.449275362,1.833333333,9.058614565,5.989583333,1.550387597,3.198294243,1.3434089,0.779510022,9.545804465,2.89514867,9.960159363,4.607721046,0.776196636,2.694898941,3.776978417,0.463320463,0.827423168,1.663893511,3.06122449,2.600472813,3.97539044,3.781818182,2.975206612
NK,5.657252892,2.806079078,3.973012711,2.251308257,4.57619477,4.713341386,4.026240816,3.087490263,5.225328927,3.2419874,1.332660795,2.722963944,3.683555089,14.65919608,6.608758422,1.503674187,6.650773044,1.574866943,2.251767968,4.657070927,6.593944515,2.347849042,2.755353075,2.594224228
B,8.768741982,2.806079078,4.857996585,4.601938938,5.720243463,4.145215415,10.88173194,5.814773328,11.34179922,6.540194234,4.081273684,6.076243615,7.119707225,4.364384121,7.759961501,8.585494553,6.710154946,9.200538459,6.546376979,5.801825792,8.867718486,4.86045942,5.844688341,4.972263104
CD4T,22.02792845,23.08764073,21.27727186,32.11425014,30.97103246,18.15898936,26.30658695,32.1613569,42.12668282,24.17435691,16.05439801,18.80862131,20.23206377,28.7535895,23.87680462,25.46544995,28.1074337,31.77363131,19.15163478,32.78161658,51.24736719,12.23352922,13.52627873,27.62368391
CD8T,2.121469834,3.667350874,2.975052172,4.105326822,4.045029306,4.98688352,3.454949889,4.528319052,7.453182346,6.690112726,3.727285661,4.563485868,3.95844726,5.262933793,4.391626564,2.934589946,3.859823641,4.614083852,1.833914118,3.017990098,6.104208583,1.050353519,2.310043487,5.140407267
Mo,15.54929553,15.81039419,15.90391357,15.69937111,16.46543646,16.0474247,14.02433568,15.43031683,13.26076361,12.59378127,15.9060429,15.84642962,17.93815372,12.66836783,13.82571116,7.667627392,7.602988203,9.35744446,8.212210712,2.063375556,9.694402173,5.801077205,11.16693787,13.90914985
G,19.10856801,22.23129299,29.5646097,23.74403496,25.16263695,31.0770805,27.13698039,26.91388589,23.34690159,20.64748069,30.14787959,28.38678049,25.7512479,21.82250931,20.15797702,34.13889303,32.34051224,25.23765037,41.24959514,23.32290404,40.53022743,22.87043233,30.49179278,27.29706657
RBC,12.18848782,14.23431805,10.70729657,14.27570323,13.59129785,10.63714585,11.61398135,10.98467759,9.800549342,15.96404211,13.21448533,10.19663721,13.50295592,9.265015788,13.23801699,8.752901285,3.424218152,5.645239438,7.094235726,6.167224009,11.75597945,7.13267801,7.558070245,13.51588099
NK,9.404025691,7.882436904,8.581826833,6.998291619,7.934009862,8.962588012,6.95075423,8.229463928,7.410071222,8.199654352,9.25860948,8.457731642,9.318590007,19.91327403,12.89145412,8.09303487,12.8455764,5.794252729,3.327601909,10.92158002,3.615143523,13.84731209,1.978216679,6.095079934
B,13.81832628,9.637078381,9.675561634,8.987937565,10.86621925,9.846671478,12.03346138,10.75371969,11.20981694,12.47417921,8.512489287,9.225550582,8.923472925,9.735817753,10.94003156,9.889321377,8.180205299,10.88056363,9.52460086,10.40883371,10.31807479,10.61600756,7.757513843,9.044812981
CD4T,16.5290268,16.09639214,12.69708641,16.68685284,13.85954396,11.30139105,14.82333983,14.51299181,18.32354627,16.22441526,12.26572989,14.17451188,12.63228521,14.00136108,15.42911606,20.43461697,23.16962776,26.71259557,20.11698375,34.66153421,14.58856437,27.38717506,24.48230708,14.24615586
CD8T,13.40226986,14.10808735,12.86970529,13.60780867,12.12085566,12.12769841,13.41714713,13.17494425,16.64835102,13.89644712,10.69476353,13.71235857,11.93329431,12.59365421,13.51769309,11.02360507,12.43687195,16.3722538,10.4747719,12.45454846,9.497608257,12.34531774,16.5651615,15.89185382
